date	Temp
2019-04-22	16.3
2019-04-23	14.8
2019-04-24	12.6
2019-04-25	12.8
2019-04-26	10.7
2019-04-27	11.4
2019-04-28	16.4
2019-04-29	11.5
2019-04-30	15.7
2019-05-01	13.8
